geoid,st,cnty,state,county,All Renter Households,All Cost-Burdened Renter Households,% All Renter Households Cost-Burdened,All Severely Cost-Burdened Renter Households,% All Renter Households Severely Cost-Burdened,ELI Renter Households,ELI Cost-Burdened Renter Households,% ELI Renter Households Cost-Burdened,ELI Severely Cost-Burdened Renter Households,% ELI Renter Households Severely Cost-Burdened,VLI Renter Households,VLI Cost-Burdened Renter Households,% VLI Renter Households Cost-Burdened,VLI Severely Cost-Burdened Renter Households,% VLI Renter Households Severely Cost-Burdened,LI Renter Households,LI Cost-Burdened Renter Households,% LI Renter Households Cost-Burdened,LI Severely Cost-Burdened Renter Households,% LI Renter Households Severely Cost-Burdened,NLI Renter Households,NLI Cost-Burdened Renter Households,% NLI Renter Households Cost-Burdened,NLI Severely Cost-Burdened Renter Households,% NLI Renter Households Severely Cost-Burdened,Renter Households At or Below 30% HAMFI (ELI),Units Affordable At or Below 30% HAMFI (ELI),Deficit or Surplus of Units Affordable At or Below 30% HAMFI (ELI),Affordable Units per 100 Households At or Below 30% HAMFI (ELI),Affordable and Available Units At or Below 30% HAMFI (ELI),Deficit or Surplus of Units Affordable and Available At or Below 30% HAMFI (ELI),Affordable and Available Units per 100 Households At or Below 30% HAMFI (ELI),Renter Households At or Below 50% HAMFI (VLI),Units Affordable At or Below 50% HAMFI (VLI),Deficit or Surplus of Units Affordable At or Below 50% HAMFI (VLI),Affordable Units per 100 Households At or Below 50% HAMFI (VLI),Affordable and Available Units At or Below 50% HAMFI (VLI),Deficit or Surplus of Units Affordable and Available At or Below 50% HAMFI (VLI),Affordable and Available Units per 100 Households At or Below 50% HAMFI (VLI),Renter Households At or Below 80% HAMFI (LI),Units Affordable to LI Renter Households,Deficit or Surplus of Units Affordable to LI Renter Households,Units Affordable to LI Renter Households per 100 LI Renter Households,Units Affordable and Available to LI Renter Households,Deficit or Surplus of Units Affordable and Available to LI Renter Households,Units Affordable and Available to LI Renter Households per 100 LI Renter Households,FMR_0BR,FMR_1BR,FMR_2BR,FMR_3BR,FMR_4BR,state_clean,2020 Weighted RS Means Index,Ratio of State Costs to National Avg. of State Avgs.
0500000US17107,17,107,Illinois,Logan County,3165,1035,0.327014218,525,0.165876777,720,650,0.902777778,475,0.659722222,415,270,0.65060241,50,0.120481928,880,60,0.068181818,0,0.0,1155,55,0.047619048,0,0.0,720,695,-25,0.965277778,290,-430,40.27777778,1135,2540,1405,223.7885463,1120,-15,98.6784141,2015,3100,1085,153.8461538,2120,105,105.2109181,,,,,,illinois,1.166,1.237
0500000US17109,17,109,Illinois,McDonough County,4220,2334,0.553080569,1570,0.372037915,1605,1375,0.856697819,1085,0.676012461,1095,800,0.730593607,435,0.397260274,615,125,0.203252033,20,0.032520325,905,34,0.037569061,30,0.033149171,1605,1395,-210,0.869158879,1065,-540,66.35514019,2700,3170,470,117.4074074,2415,-285,89.44444444,3315,4575,1260,138.0090498,3850,535,116.1387632,,,,,,illinois,1.166,1.237
0500000US17111,17,111,Illinois,McHenry County,21200,9635,0.454481132,4745,0.223820755,4675,3925,0.839572193,3195,0.68342246,3775,2935,0.777483444,1215,0.321854305,4770,2390,0.501048218,255,0.053459119,7980,385,0.048245614,80,0.010025063,4675,2525,-2150,0.540106952,1480,-3195,31.65775401,8450,8430,-20,99.76331361,4850,-3600,57.3964497,13220,20015,6795,151.3993949,12955,-265,97.99546142,,,,,,illinois,1.166,1.237
0500000US17113,17,113,Illinois,McLean County,23905,11539,0.482702364,7919,0.331269609,9035,8540,0.94521306,7445,0.824017709,4435,2480,0.559188275,440,0.099210823,4015,419,0.104358655,4,0.000996264,6425,100,0.015564202,30,0.004669261,9035,5620,-3415,0.622025457,3330,-5705,36.85666851,13470,19410,5940,144.0979955,12260,-1210,91.01707498,17485,24790,7305,141.7786674,18830,1345,107.6923077,,,,,,illinois,1.166,1.237
0500000US17115,17,115,Illinois,Macon County,13355,5805,0.434668663,3550,0.265818046,4015,3455,0.860523039,3040,0.757160648,2355,1570,0.666666667,365,0.154989384,2940,695,0.236394558,125,0.042517007,4045,85,0.021013597,20,0.004944376,4015,3205,-810,0.798256538,1950,-2065,48.56787049,6370,10335,3965,162.244898,6235,-135,97.88069074,9310,13950,4640,149.8388829,10280,970,110.4189044,720.0,758.0,995.0,1222.0,1501.0,illinois,1.166,1.237
0500000US17117,17,117,Illinois,Macoupin County,4185,1588,0.379450418,824,0.196893668,890,665,0.747191011,540,0.606741573,1125,645,0.573333333,210,0.186666667,830,189,0.227710843,4,0.004819277,1340,89,0.06641791,70,0.052238806,890,1090,200,1.224719101,465,-425,52.24719101,2015,3255,1240,161.5384615,1740,-275,86.35235732,2845,4345,1500,152.7240773,3130,285,110.0175747,,,,,,illinois,1.166,1.237
0500000US17119,17,119,Illinois,Madison County,29340,13345,0.454839809,6940,0.236537151,9165,7700,0.840152755,5965,0.650845608,6150,4170,0.67804878,695,0.11300813,5600,1060,0.189285714,185,0.033035714,8425,415,0.04925816,95,0.011275964,9165,5985,-3180,0.653027823,3450,-5715,37.64320786,15315,21435,6120,139.9608227,13260,-2055,86.58178257,20915,28715,7800,137.2938083,21110,195,100.9323452,1030.0,1136.0,1310.0,1690.0,2109.0,illinois,1.166,1.237
0500000US17121,17,121,Illinois,Marion County,3870,1480,0.382428941,805,0.208010336,1275,940,0.737254902,685,0.537254902,690,410,0.594202899,80,0.115942029,775,90,0.116129032,10,0.012903226,1130,40,0.03539823,30,0.026548673,1275,1125,-150,0.882352941,635,-640,49.80392157,1965,2870,905,146.0559796,1710,-255,87.02290076,2740,3735,995,136.3138686,2690,-50,98.17518248,535.0,591.0,776.0,1039.0,1302.0,illinois,1.166,1.237
0500000US17123,17,123,Illinois,Marshall County,970,309,0.318556701,150,0.154639175,305,195,0.639344262,135,0.442622951,170,110,0.647058824,15,0.088235294,155,4,0.025806452,0,0.0,345,0,0.0,0,0.0,305,340,35,1.114754098,170,-135,55.73770492,475,945,470,198.9473684,505,30,106.3157895,630,1015,385,161.1111111,674,44,106.984127,588.0,591.0,776.0,1069.0,1073.0,illinois,1.166,1.237
0500000US17125,17,125,Illinois,Mason County,1210,434,0.358677686,244,0.201652893,295,270,0.915254237,230,0.779661017,190,130,0.684210526,10,0.052631579,290,30,0.103448276,0,0.0,435,4,0.009195402,4,0.009195402,295,310,15,1.050847458,90,-205,30.50847458,485,980,495,202.0618557,410,-75,84.53608247,775,1185,410,152.9032258,775,0,100.0,,,,,,illinois,1.166,1.237
0500000US17127,17,127,Illinois,Massac County,1205,559,0.463900415,255,0.211618257,345,270,0.782608696,210,0.608695652,320,205,0.640625,45,0.140625,260,80,0.307692308,0,0.0,280,4,0.014285714,0,0.0,345,340,-5,0.985507246,205,-140,59.42028986,665,909,244,136.6917293,634,-31,95.33834586,925,1214,289,131.2432432,959,34,103.6756757,,,,,,illinois,1.166,1.237
0500000US17129,17,129,Illinois,Menard County,1065,315,0.295774648,160,0.150234742,275,190,0.690909091,120,0.436363636,270,100,0.37037037,40,0.148148148,195,25,0.128205128,0,0.0,320,0,0.0,0,0.0,275,560,285,2.036363636,205,-70,74.54545455,545,1009,464,185.1376147,539,-6,98.89908257,740,1064,324,143.7837838,744,4,100.5405405,,,,,,illinois,1.166,1.237
0500000US17131,17,131,Illinois,Mercer County,1380,468,0.339130435,203,0.147101449,375,234,0.624,154,0.410666667,280,120,0.428571429,20,0.071428571,420,110,0.261904762,25,0.05952381,310,4,0.012903226,4,0.012903226,375,495,120,1.32,285,-90,76.0,655,1209,554,184.5801527,669,14,102.1374046,1075,1359,284,126.4186047,1063,-12,98.88372093,,,,,,illinois,1.166,1.237
0500000US17133,17,133,Illinois,Monroe County,2175,944,0.434022989,299,0.137471264,415,325,0.78313253,270,0.65060241,505,440,0.871287129,25,0.04950495,450,179,0.397777778,4,0.008888889,805,0,0.0,0,0.0,415,305,-110,0.734939759,160,-255,38.55421687,920,1450,530,157.6086957,760,-160,82.60869565,1370,2080,710,151.8248175,1315,-55,95.98540146,576.0,619.0,776.0,1079.0,1254.0,illinois,1.166,1.237
0500000US17135,17,135,Illinois,Montgomery County,2740,1025,0.374087591,370,0.135036496,735,515,0.700680272,340,0.462585034,720,415,0.576388889,30,0.041666667,415,80,0.192771084,0,0.0,870,15,0.017241379,0,0.0,735,945,210,1.285714286,465,-270,63.26530612,1455,2480,1025,170.4467354,1500,45,103.0927835,1870,2890,1020,154.5454545,2055,185,109.8930481,860.0,870.0,1016.0,1304.0,1537.0,illinois,1.166,1.237
0500000US17137,17,137,Illinois,Morgan County,3970,1564,0.39395466,624,0.157178841,1015,745,0.733990148,555,0.54679803,900,515,0.572222222,65,0.072222222,955,289,0.302617801,4,0.004188482,1100,15,0.013636364,0,0.0,1015,1090,75,1.073891626,515,-500,50.73891626,1915,3105,1190,162.1409922,1725,-190,90.07832898,2870,3825,955,133.2752613,2850,-20,99.30313589,755.0,776.0,961.0,1262.0,1550.0,illinois,1.166,1.237
0500000US17139,17,139,Illinois,Moultrie County,1230,388,0.315447154,178,0.144715447,180,140,0.777777778,120,0.666666667,255,154,0.603921569,4,0.015686275,255,75,0.294117647,50,0.196078431,535,19,0.035514019,4,0.007476636,180,334,154,1.855555556,74,-106,41.11111111,435,1024,589,235.4022989,399,-36,91.72413793,690,1149,459,166.5217391,644,-46,93.33333333,,,,,,illinois,1.166,1.237
0500000US17141,17,141,Illinois,Ogle County,5820,2010,0.345360825,1025,0.176116838,1285,1060,0.824902724,775,0.60311284,1195,605,0.506276151,250,0.209205021,1240,330,0.266129032,0,0.0,2100,15,0.007142857,0,0.0,1285,1530,245,1.190661479,625,-660,48.6381323,2480,4160,1680,167.7419355,2085,-395,84.07258065,3720,5820,2100,156.4516129,3880,160,104.3010753,,,,,,illinois,1.166,1.237
0500000US17143,17,143,Illinois,Peoria County,25880,11870,0.458655332,7130,0.275502318,8300,7240,0.872289157,6120,0.737349398,4605,2950,0.640608035,695,0.15092291,4840,1470,0.303719008,280,0.05785124,8140,210,0.025798526,35,0.004299754,8300,4395,-3905,0.529518072,2840,-5460,34.21686747,12905,16515,3610,127.9736536,10370,-2535,80.35645099,17745,25700,7955,144.8295294,18280,535,103.0149338,,,,,,illinois,1.166,1.237
0500000US17145,17,145,Illinois,Perry County,2040,794,0.389215686,430,0.210784314,735,665,0.904761905,420,0.571428571,320,105,0.328125,10,0.03125,320,10,0.03125,0,0.0,660,14,0.021212121,0,0.0,735,1030,295,1.401360544,430,-305,58.50340136,1055,1885,830,178.6729858,1075,20,101.8957346,1375,2040,665,148.3636364,1435,60,104.3636364,596.0,636.0,803.0,963.0,1198.0,illinois,1.166,1.237
0500000US17147,17,147,Illinois,Piatt County,1155,405,0.350649351,240,0.207792208,235,210,0.893617021,185,0.787234043,185,120,0.648648649,40,0.216216216,340,65,0.191176471,15,0.044117647,395,10,0.025316456,0,0.0,235,350,115,1.489361702,140,-95,59.57446809,420,885,465,210.7142857,395,-25,94.04761905,760,1165,405,153.2894737,810,50,106.5789474,,,,,,illinois,1.166,1.237
0500000US17149,17,149,Illinois,Pike County,1235,454,0.367611336,254,0.205668016,435,330,0.75862069,250,0.574712644,265,104,0.39245283,4,0.01509434,205,20,0.097560976,0,0.0,335,0,0.0,0,0.0,435,555,120,1.275862069,335,-100,77.01149425,700,1185,485,169.2857143,715,15,102.1428571,905,1285,380,141.9889503,950,45,104.9723757,677.0,695.0,912.0,1093.0,1208.0,illinois,1.166,1.237
0500000US17151,17,151,Illinois,Pope County,225,99,0.44,60,0.266666667,155,95,0.612903226,60,0.387096774,4,4,1.0,0,0.0,20,0,0.0,0,0.0,49,0,0.0,0,0.0,155,174,19,1.122580645,139,-16,89.67741935,159,214,55,134.591195,153,-6,96.22641509,179,229,50,127.9329609,176,-3,98.32402235,,,,,,illinois,1.166,1.237
